OBJECTID,year,quarter,light_desc,light_code,county_des,county_no,muni_desc,muni_code,junction_d,junction_c,collision_,collisio_2,surf_cond_,surf_con_2,lane_code,rd_cond_de,rd_cond_co,rd_div_des,rd_div_cod,fix_obj_de,fix_obj_co,report_no,report_typ,weather_de,weather_co,acc_date,acc_time,loc_code,signal_fla,signal_f_2,c_m_zone_f,agency_cod,area_code,harm_event,harm_eve_2,harm_eve_3,harm_eve_4,rte_no,route_type,rte_suffix,log_mile,logmile_di,logmile__2,mainroad_n,distance,feet_miles,feet_mil_2,distance_d,reference_,referenc_2,referenc_3,referenc_4,latitude,longitude,crashdate,date,Field1,x,y
1,2021,Q2,Dark No Lights,4,Wicomico,22,,133,Intersection,2,Head On Left Turn,2,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,ZV1288001C,Property Damage Crash,,6.01,20210527,6/23/2023 8:50:00 PM,,Yes,Y,N,WICOMICO,UNK,Other Vehicle,1,Not Applicable,0,2041,MU,,0.1,West,W,S PARK DR,0,Feet,F,W,270,CO,,CHURCHILL AVE,38.35982,-75.58147,20210527,5/27/2021 12:00:00 AM,,-75.5814732004278,38.3598227001576
2,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Opposite Direction Sideswipe,6,Wet,1,0,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE2183006H,Injury Crash,Raining,3,20210611,6/23/2023 5:24:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,1897,MU,,1.21,South,S,E NAYLOR MILL RD,0,Feet,F,S,406,CO,,ZION RD,38.39518,-75.56274,20210611,6/11/2021 12:00:00 AM,,-75.5627439006105,38.3951797856187
3,2021,Q2,Daylight,1,Wicomico,22,,133,Non Intersection,1,Head On Left Turn,2,Dry,2,2,No Defects,1,"Two-way, Divided, Unprotected (painted >4 feet) Median",3,Curb,4,DE6147000L,Injury Crash,,6.01,20210424,6/23/2023 4:28:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,4.33,North,N,S SALISBURY BLVD,70,Feet,F,N,2180,MU,,PINEHURST AVE,38.35111,-75.60147,20210424,4/24/2021 12:00:00 AM,,-75.6014680010474,38.3511089413246
4,2021,Q2,Dark Lights On,3,Wicomico,22,,133,Not Applicable,0,Head On,1,Dry,2,1,No Defects,1,One-way Trafficway,2,Not Applicable,0,DE21830068,Injury Crash,,6.01,20210505,6/23/2023 10:01:00 PM,,No,N,N,SALISBURY,UNK,Parked Vehicle,2,Not Applicable,0,3013,MU,,0.2,East,E,E WILLIAMS ST #2,75,Feet,F,W,860,MU,,ELLEN ST,38.36921,-75.59559,20210505,5/5/2021 12:00:00 AM,,-75.5955863521284,38.3692042892466
5,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Same Direction Sideswipe,7,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE31770065,Property Damage Crash,,6.01,20210428,6/23/2023 12:45:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,2095,MU,,0.15,South,S,PARSONS RD,0,Feet,F,S,2125,MU,,PEMBERTON DR,38.36758,-75.61776,20210428,4/28/2021 12:00:00 AM,,-75.6177590157659,38.3675808240958
6,2021,Q2,Daylight,1,Wicomico,22,,133,,88,Single Vehicle,17,Dry,2,0,Other,88,Other,88,Not Applicable,0,DE2149001H,Injury Crash,,6.01,20210625,6/23/2023 1:08:00 PM,,No,N,Y,SALISBURY,UNK,Pedestrian,3,Not Applicable,0,960,MU,,0.09,East,E,FITZWATER ST,10,Feet,F,W,760,MU,,DELAWARE AVE,38.36383,-75.61238,20210625,6/25/2021 12:00:00 AM,,-75.6123827678504,38.3638269216751
7,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Divided, Unprotected (painted >4 feet) Median",3,Not Applicable,0,MSP6883001T,Injury Crash,,6.01,20210508,6/23/2023 1:18:00 PM,,Yes,Y,N,MSP,UNK,Other Vehicle,1,Other Vehicle,1,13,US,,12.55,North,N,N SALISBURY BLVD,0,Feet,F,N,3070,MU,,N ZION RD,38.39148,-75.57578,20210508,5/8/2021 12:00:00 AM,,-75.5757849830904,38.3914744169109
8,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE5150006H,Injury Crash,,6.01,20210518,6/23/2023 6:16:00 PM,22,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,1900,MU,,0.46,East,E,NAYLOR ST,0,Feet,F,E,520,MU,,E CHURCH ST,38.37116,-75.58781,20210518,5/18/2021 12:00:00 AM,,-75.5878035247129,38.3711616924582
9,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Head On Left Turn,2,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,ZV1290000N,Property Damage Crash,,6.01,20210428,6/23/2023 5:49:00 PM,,Yes,Y,N,WICOMICO,UNK,Other Vehicle,1,Not Applicable,0,2950,MU,,1.53,East,E,WEST RD,0,Feet,F,E,542,CO,,MANOA BLVD,38.38407,-75.61099,20210428,4/28/2021 12:00:00 AM,,-75.6109929996272,38.3840700502926
10,2021,Q2,Dark Lights On,3,Wicomico,22,,133,Intersection Related,3,Same Direction Rear End,3,Not Applicable,0,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE41920028,Injury Crash,,6.01,20210614,6/23/2023 9:12:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,5.64,North,N,N SALISBURY BLVD,0,Feet,F,N,520,MU,,E CHURCH ST,38.36802,-75.59538,20210614,6/14/2021 12:00:00 AM,,-75.5953774890798,38.3680160941674
